date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-23,PHX@IND,DeWanna Bonner,starters,OVER,7.0,9.0,7.0,2.0,MISS
2026-06-23,PHX@IND,Kahleah Copper,starters,OVER,7.0,8.5,20.0,1.5,HIT
2026-06-23,PHX@IND,Noemie Brochant,starters,OVER,5.0,5.7,7.0,0.7,HIT
2026-06-23,PHX@IND,Natasha Mack,starters,OVER,4.0,5.3,4.0,1.3,MISS
2026-06-23,PHX@IND,Lexi Held,bench,OVER,4.0,5.3,4.0,1.3,MISS
2026-06-23,PHX@IND,Valeriane Ayayi,bench,OVER,3.0,4.4,9.0,1.4,HIT
2026-06-23,PHX@IND,Kyara Linskens,bench,OVER,3.0,4.5,4.0,1.5,HIT
2026-06-23,PHX@IND,Quionche Carter,bench,OVER,3.0,3.8,0.0,0.8,MISS
2026-06-23,PHX@IND,Shay Ciezki,bench,OVER,2.0,3.3,3.0,1.3,HIT
2026-06-23,PHX@IND,Caitlin Clark,starters,OVER,9.0,10.8,24.0,1.8,HIT
2026-06-23,PHX@IND,Aliyah Boston,starters,OVER,8.0,9.1,8.0,1.1,MISS
2026-06-23,PHX@IND,Kelsey Mitchell,starters,OVER,8.0,10.2,22.0,2.2,HIT
2026-06-23,PHX@IND,Sophie Cunningham,starters,OVER,5.0,6.5,2.0,1.5,MISS
2026-06-23,PHX@IND,Lexie Hull,starters,OVER,4.0,5.5,8.0,1.5,HIT
2026-06-23,PHX@IND,Monique Billings,bench,OVER,5.0,5.8,14.0,0.8,HIT
2026-06-23,PHX@IND,Myisha Hines-Allen,bench,OVER,5.0,6.3,3.0,1.3,MISS
2026-06-23,PHX@IND,Raven Johnson,bench,OVER,4.0,5.0,4.0,1.0,MISS
2026-06-23,PHX@IND,Makayla Timpson,bench,OVER,3.0,4.4,1.0,1.4,MISS
2026-06-23,PHX@IND,Grace VanSlooten,bench,OVER,3.0,4.4,0.0,1.4,MISS
2026-06-23,TOR@ATL,Marina Mabrey,starters,OVER,7.0,8.4,23.0,1.4,HIT
2026-06-23,TOR@ATL,Julie Allemand,starters,OVER,4.0,5.5,4.0,1.5,MISS
2026-06-23,TOR@ATL,Maria Conde,starters,OVER,5.0,6.5,8.0,1.5,HIT
2026-06-23,TOR@ATL,Laura Juskaite,starters,OVER,5.0,6.8,8.0,1.8,HIT
2026-06-23,TOR@ATL,Kia Nurse,starters,OVER,5.0,6.7,4.0,1.7,MISS
2026-06-23,TOR@ATL,Isabelle Harrison,bench,OVER,5.0,6.4,21.0,1.4,HIT
2026-06-23,TOR@ATL,Temi Fagbenle,bench,OVER,4.0,5.3,10.0,1.3,HIT
2026-06-23,TOR@ATL,Nyara Sabally,bench,OVER,4.0,5.2,9.0,1.2,HIT
2026-06-23,TOR@ATL,Teonni Key,bench,OVER,3.0,4.1,0.0,1.1,MISS
2026-06-23,TOR@ATL,Tima Pouye,bench,OVER,3.0,4.2,0.0,1.2,MISS
2026-06-23,TOR@ATL,Rhyne Howard,starters,OVER,8.0,10.1,20.0,2.1,HIT
2026-06-23,TOR@ATL,Angel Reese,starters,OVER,7.0,8.9,11.0,1.9,HIT
2026-06-23,TOR@ATL,Allisha Gray,starters,OVER,7.0,8.9,18.0,1.9,HIT
2026-06-23,TOR@ATL,Jordin Canada,starters,OVER,6.0,7.0,11.0,1.0,HIT
2026-06-23,TOR@ATL,Naz Hillmon,starters,OVER,5.0,5.7,6.0,0.7,HIT
