date,league,matchup,team,player,role,stat,season_avg,minutes_proj,tc_projection,market_line,edge,side
2026-06-02,WNBA,LV @ LA,LA,Chance Gray,BENCH,REB,1.3,14,1.75,1.2,0.55,OVER
2026-06-02,WNBA,LV @ LA,LA,Kate Martin,BENCH,PTS,2.6,14,4.14,2.5,1.64,OVER
2026-06-02,WNBA,LV @ LA,LA,Jihyun Park,BENCH,PTS,0.8,14,1.7,0.8,0.9,OVER
2026-06-02,WNBA,LV @ LA,LA,Jihyun Park,BENCH,REB,0.6,14,1.27,0.6,0.67,OVER
2026-06-02,WNBA,LV @ LA,LA,Jihyun Park,BENCH,AST,0.8,14,1.7,0.8,0.9,OVER
2026-06-02,WNBA,LV @ LA,LA,Jihyun Park,BENCH,STL,0.6,14,1.27,0.6,0.67,OVER
2026-06-02,WNBA,LV @ LA,LA,Ta'Niya Latson,BENCH,PTS,1.6,14,6.22,1.5,4.72,OVER
2026-06-02,WNBA,LV @ LA,LA,Ta'Niya Latson,BENCH,REB,0.2,14,0.78,0.2,0.58,OVER
2026-06-02,WNBA,LV @ LA,LA,Ta'Niya Latson,BENCH,3PM,0.2,14,0.78,0.2,0.58,OVER
2026-06-02,WNBA,LV @ LA,LV,Chelsea Gray,START,PTS,10.6,22,7.4,10.1,-2.7,UNDER
2026-06-02,WNBA,LV @ LA,LV,Chelsea Gray,START,REB,3.6,22,2.51,3.4,-0.89,UNDER
2026-06-02,WNBA,LV @ LA,LV,Chelsea Gray,START,AST,6.8,22,4.75,6.5,-1.75,UNDER
2026-06-02,WNBA,LV @ LA,LV,A'ja Wilson,START,PTS,24.8,22,17.89,23.6,-5.71,UNDER
2026-06-02,WNBA,LV @ LA,LV,A'ja Wilson,START,REB,8.1,22,5.84,7.7,-1.86,UNDER
2026-06-02,WNBA,LV @ LA,LV,A'ja Wilson,START,AST,2.9,22,2.09,2.8,-0.71,UNDER
2026-06-02,WNBA,LV @ LA,LV,A'ja Wilson,START,BLK,2.3,22,1.66,2.2,-0.54,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jackie Young,START,PTS,11.8,22,8.71,11.2,-2.49,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jackie Young,START,REB,4.8,22,3.54,4.6,-1.06,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jackie Young,START,AST,6.1,22,4.5,5.8,-1.3,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jewell Loyd,BENCH,PTS,7.3,14,3.74,6.9,-3.16,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jewell Loyd,BENCH,REB,2.6,14,1.33,2.5,-1.17,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jewell Loyd,BENCH,AST,1.6,14,0.82,1.5,-0.68,UNDER
2026-06-02,WNBA,LV @ LA,LV,Jewell Loyd,BENCH,3PM,1.6,14,0.82,1.5,-0.68,UNDER
2026-06-02,WNBA,LV @ LA,LV,NaLyssa Smith,START,PTS,11.5,22,11.77,10.9,0.87,OVER
2026-06-02,WNBA,LV @ LA,LV,NaLyssa Smith,START,REB,7.1,22,7.27,6.7,0.57,OVER
2026-06-02,WNBA,LV @ LA,LV,Chennedy Carter,BENCH,PTS,17.5,14,12.07,16.6,-4.53,UNDER
2026-06-02,WNBA,LV @ LA,LV,Chennedy Carter,BENCH,REB,2.4,14,1.66,2.3,-0.64,UNDER
2026-06-02,WNBA,LV @ LA,LV,Stephanie Talbot,START,PTS,3.6,22,4.4,3.4,1.0,OVER
2026-06-02,WNBA,LV @ LA,LV,Stephanie Talbot,START,REB,3.1,22,3.79,2.9,0.89,OVER
2026-06-02,WNBA,LV @ LA,LV,Cheyenne Parker-Tyus,BENCH,PTS,4.8,14,6.28,4.6,1.68,OVER
2026-06-02,WNBA,LV @ LA,LV,Cheyenne Parker-Tyus,BENCH,REB,2.3,14,3.01,2.2,0.81,OVER
2026-06-02,WNBA,LV @ LA,LV,Brianna Turner,BENCH,PTS,1.4,14,1.83,1.3,0.53,OVER
2026-06-02,WNBA,LV @ LA,LV,Brianna Turner,BENCH,REB,2.7,14,3.53,2.6,0.93,OVER
2026-06-03,WNBA,TOR @ NY,NY,Breanna Stewart,START,PTS,18.8,22,12.65,17.9,-5.25,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Breanna Stewart,START,REB,8.6,22,5.79,8.2,-2.41,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Breanna Stewart,START,AST,2.4,22,1.61,2.3,-0.69,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Leonie Fiebich,START,PTS,6.0,22,4.26,5.7,-1.44,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Sabrina Ionescu,START,PTS,11.0,22,7.81,10.4,-2.59,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Sabrina Ionescu,START,REB,5.0,22,3.55,4.8,-1.25,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Sabrina Ionescu,START,AST,7.0,22,4.97,6.6,-1.63,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Jonquel Jones,START,PTS,12.7,22,9.63,12.1,-2.47,UNDER
