2026-06-16,MLB,TOR@BOS,TOR,Vladimir Guerrero Jr.,,ACTIVE,total_bases,UNDER,1.5,1.3,,-0.2,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Ernie Clement,,ACTIVE,total_bases,UNDER,1.5,1.3,,-0.2,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Yohendrick Pinango,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Yohendrick Pinango,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Yohendrick Pinango,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Yohendrick Pinango,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Yohendrick Pinango,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Myles Straw,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Myles Straw,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Myles Straw,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Myles Straw,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Myles Straw,,ACTIVE,sb,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Myles Straw,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Davis Schneider,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Davis Schneider,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Davis Schneider,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Vladimir Guerrero Jr.,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Vladimir Guerrero Jr.,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
