name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
SS  CJ Abrams,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.31,10.0,-9.69,UNDER,"Strong +EV opportunity: SS  CJ Abrams is projected for 0.3 BB vs a line of 10.0, giving a UNDER edge of 9.69. Based on recent form, opponent matchup, and game context.",CJ Abrams,0.31,0.0,
2B  Nasim Nuñez,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.33,10.0,-9.67,UNDER,Targeting 2B  Nasim Nuñez UNDER 10.0 SB. Model projects 0.3 (9.67 edge). Recent trends and opponent weakness support this play.,Nasim Nuñez,0.33,0.0,
1B  Andrés Chaparro,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.34,10.0,-9.66,UNDER,1B  Andrés Chaparro shows UNDER value at 10.0 R. TC projection: 0.3 — edge: 9.66. Strong conviction based on usage rate and defensive matchup.,Andrés Chaparro,0.34,0.0,
CF  Jacob Young,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.35,10.0,-9.65,UNDER,Targeting CF  Jacob Young UNDER 10.0 R. Model projects 0.3 (9.65 edge). Recent trends and opponent weakness support this play.,Jacob Young,0.35,0.0,
1B  Andrés Chaparro,Washington Nationals,mlb,H,Arizona_Diamondbacks_at_Washington_Nationals,0.36,10.0,-9.64,UNDER,1B  Andrés Chaparro shows UNDER value at 10.0 H. TC projection: 0.4 — edge: 9.64. Strong conviction based on usage rate and defensive matchup.,Andrés Chaparro,0.36,0.0,
3B  Curtis Mead,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.37,10.0,-9.63,UNDER,Targeting 3B  Curtis Mead UNDER 10.0 BB. Model projects 0.4 (9.63 edge). Recent trends and opponent weakness support this play.,Curtis Mead,0.37,0.0,
RF  Dylan Crews,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.38,10.0,-9.62,UNDER,RF  Dylan Crews shows UNDER value at 10.0 RBI. TC projection: 0.4 — edge: 9.62. Strong conviction based on usage rate and defensive matchup.,Dylan Crews,0.38,0.0,
2B  Nasim Nuñez,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.4,10.0,-9.6,UNDER,"Strong +EV opportunity: 2B  Nasim Nuñez is projected for 0.4 R vs a line of 10.0, giving a UNDER edge of 9.60. Based on recent form, opponent matchup, and game context.",Nasim Nuñez,0.4,0.0,
C   Keibert Ruiz,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.41,10.0,-9.59,UNDER,C   Keibert Ruiz shows UNDER value at 10.0 R. TC projection: 0.4 — edge: 9.59. Strong conviction based on usage rate and defensive matchup.,Keibert Ruiz,0.41,0.0,
LF  Daylen Lile,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.42,10.0,-9.58,UNDER,LF  Daylen Lile shows UNDER value at 10.0 RBI. TC projection: 0.4 — edge: 9.58. Strong conviction based on usage rate and defensive matchup.,Daylen Lile,0.42,0.0,
1B  Luis García Jr.,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.42,10.0,-9.58,UNDER,Targeting 1B  Luis García Jr. UNDER 10.0 R. Model projects 0.4 (9.58 edge). Recent trends and opponent weakness support this play.,Luis García Jr.,0.42,0.0,
1B  Andrés Chaparro,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.43,10.0,-9.57,UNDER,"Strong +EV opportunity: 1B  Andrés Chaparro is projected for 0.4 RBI vs a line of 10.0, giving a UNDER edge of 9.57. Based on recent form, opponent matchup, and game context.",Andrés Chaparro,0.43,0.0,
LF  Daylen Lile,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.44,10.0,-9.56,UNDER,"Strong +EV opportunity: LF  Daylen Lile is projected for 0.4 R vs a line of 10.0, giving a UNDER edge of 9.56. Based on recent form, opponent matchup, and game context.",Daylen Lile,0.44,0.0,
C   Keibert Ruiz,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.45,10.0,-9.55,UNDER,"Strong +EV opportunity: C   Keibert Ruiz is projected for 0.5 RBI vs a line of 10.0, giving a UNDER edge of 9.55. Based on recent form, opponent matchup, and game context.",Keibert Ruiz,0.45,0.0,
3B  Curtis Mead,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.48,10.0,-9.52,UNDER,3B  Curtis Mead shows UNDER value at 10.0 RBI. TC projection: 0.5 — edge: 9.52. Strong conviction based on usage rate and defensive matchup.,Curtis Mead,0.48,0.0,
3B  Curtis Mead,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.48,10.0,-9.52,UNDER,3B  Curtis Mead shows UNDER value at 10.0 R. TC projection: 0.5 — edge: 9.52. Strong conviction based on usage rate and defensive matchup.,Curtis Mead,0.48,0.0,
RF  Dylan Crews,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.49,10.0,-9.51,UNDER,RF  Dylan Crews shows UNDER value at 10.0 R. TC projection: 0.5 — edge: 9.51. Strong conviction based on usage rate and defensive matchup.,Dylan Crews,0.49,0.0,
DH  José Tena,Washington Nationals,mlb,H,Arizona_Diamondbacks_at_Washington_Nationals,0.51,10.0,-9.49,UNDER,"Strong +EV opportunity: DH  José Tena is projected for 0.5 H vs a line of 10.0, giving a UNDER edge of 9.49. Based on recent form, opponent matchup, and game context.",José Tena,0.51,0.0,
3B  Jorbit Vivas,Washington Nationals,mlb,H,Arizona_Diamondbacks_at_Washington_Nationals,0.52,10.0,-9.48,UNDER,Targeting 3B  Jorbit Vivas UNDER 10.0 H. Model projects 0.5 (9.48 edge). Recent trends and opponent weakness support this play.,Jorbit Vivas,0.52,0.0,
C   Edgar Quero,Chicago White Sox,mlb,HR,Houston_Astros_at_Chicago_White_Sox,0.03,9.5,-9.47,UNDER,"Strong +EV opportunity: C   Edgar Quero is projected for 0.0 HR vs a line of 9.5, giving a UNDER edge of 9.47. Based on recent form, opponent matchup, and game context.",Edgar Quero,0.03,0.0,
CF  Tristan Peters,Chicago White Sox,mlb,3B,Houston_Astros_at_Chicago_White_Sox,0.03,9.5,-9.47,UNDER,CF  Tristan Peters shows UNDER value at 9.5 3B. TC projection: 0.0 — edge: 9.47. Strong conviction based on usage rate and defensive matchup.,Tristan Peters,0.03,0.0,
CF  Junior Perez,Chicago White Sox,mlb,BB,Houston_Astros_at_Chicago_White_Sox,0.04,9.5,-9.46,UNDER,CF  Junior Perez shows UNDER value at 9.5 BB. TC projection: 0.0 — edge: 9.46. Strong conviction based on usage rate and defensive matchup.,Junior Perez,0.04,0.0,
SS  Luisangel Acuña,Chicago White Sox,mlb,2B,Houston_Astros_at_Chicago_White_Sox,0.04,9.5,-9.46,UNDER,SS  Luisangel Acuña shows UNDER value at 9.5 2B. TC projection: 0.0 — edge: 9.46. Strong conviction based on usage rate and defensive matchup.,Luisangel Acuña,0.04,0.0,
CF  Tristan Peters,Chicago White Sox,mlb,SB,Houston_Astros_at_Chicago_White_Sox,0.04,9.5,-9.46,UNDER,"Strong +EV opportunity: CF  Tristan Peters is projected for 0.0 SB vs a line of 9.5, giving a UNDER edge of 9.46. Based on recent form, opponent matchup, and game context.",Tristan Peters,0.04,0.0,
SS  CJ Abrams,Washington Nationals,mlb,R,Arizona_Diamondbacks_at_Washington_Nationals,0.55,10.0,-9.45,UNDER,"Strong +EV opportunity: SS  CJ Abrams is projected for 0.6 R vs a line of 10.0, giving a UNDER edge of 9.45. Based on recent form, opponent matchup, and game context.",CJ Abrams,0.55,0.0,
